Ativo,Rentabilidade,Vencimento
VALE3-01,0.0123184958544873,0
PETR4-01,0.0225837425321298,0
ITUB4-01,0.0029703870764799,0
PETR3-01,0.0209767498450846,0
B3SA3-01,0.00579281544300825,0
ELET3-01,0.00590210974768945,0
BBAS3-01,0.00600613244115666,0
RENT3-01,0.0122504242802519,0
ITSA4-01,0.00201983799185035,0
WEGE3-01,0.0268147510564074,0
BPAC11-01,0.020884679530371,0
SUZB3-01,0.00745147697160453,0
EQTL3-01,0.0127936528057881,0
RADL3-01,0.0151774783516816,0
PRIO3-01,0.0532723029509465,0
GGBR4-01,0.018371772445321,0
RAIL3-01,0.00156789938268043,0
JBSS3-01,0.000815427169364114,0
CSAN3-01,0.0112753394989198,0
BBSE3-01,0.00534023899057967,0
ENEV3-01,0.0142869881939414,0
SBSP3-01,0.00563981920293211,0
CMIG4-01,0.0121762398779925,0
VIVT3-01,0.00572442109866866,0
HYPE3-01,0.0108705840038297,0
KLBN11-01,0.0101323745072763,0
TOTS3-01,0.0156354628684841,0
CCRO3-01,0.00197241437362661,0
CPLE6-01,0.0183487387114283,0
ELET6-01,0.00947115166531765,0
ENGI11-01,0.00413588094615958,0
EGIE3-01,0.00598568306624592,0
TAEE11-01,0.015911023287456,0
GOAU4-01,0.0187622548554784,0
CSNA3-01,0.00169718104687422,0
MULT3-01,0.00163360301156357,0
CPFE3-01,0.00963372903063497,0
BRAP4-01,0.0201972993102955,0
ENBR3-01,0.0100257468474467,0
SMTO3-01,0.0160405952853124,0
CYRE3-01,0.00497874422765854,0
ARZZ3-01,0.0109169075130124,0
SLCE3-01,0.0232763845582871,0
USIM5-01,0.000209383081182235,0
BEEF3-01,0.0115697402974551,0
DXCO3-01,0.00371127397950266,0
MRFG3-01,0.0123594696866696,0
VALE3-02,0.0247887370490918,1
PETR4-02,0.045677510491017,1
ITUB4-02,0.00594959735234379,1
PETR3-02,0.0423935237242323,1
B3SA3-02,0.0116191875967735,1
ELET3-02,0.0118390543948526,1
BBAS3-02,0.0120483385092138,1
RENT3-02,0.0246509214555501,1
ITSA4-02,0.00404375572921389,1
WEGE3-02,0.0543485329870319,1
BPAC11-02,0.042205528899828,1
SUZB3-02,0.0149584784522674,1
EQTL3-02,0.0257509831636911,1
RADL3-02,0.0305853125524789,1
PRIO3-02,0.10938254416359,1
GGBR4-02,0.0370810669134247,1
RAIL3-02,0.00313825707383497,1
JBSS3-02,0.00163151926019678,1
CSAN3-02,0.0226778122786555,1
BBSE3-02,0.0107089961336357,1
ENEV3-02,0.0287780944195366,1
SBSP3-02,0.0113114459665058,1
CMIG4-02,0.0245007405735516,1
VIVT3-02,0.0114816111942522,1
HYPE3-02,0.0218593376042437,1
KLBN11-02,0.0203674140277086,1
TOTS3-02,0.0315153934360797,1
CCRO3-02,0.0039487191657146,1
CPLE6-02,0.0370341536351568,1
ELET6-02,0.0190320060445026,1
ENGI11-02,0.00828886740351997,1
EGIE3-02,0.0120071945342612,1
TAEE11-02,0.0320752072369659,1
GOAU4-02,0.0378765319182188,1
CSNA3-02,0.00339724251725415,1
MULT3-02,0.00326987468192641,1
CPFE3-02,0.0193602667963055,1
BRAP4-02,0.0408025295200205,1
ENBR3-02,0.0201520092947425,1
SMTO3-02,0.032338491267732,1
CYRE3-02,0.0099822763494013,1
ARZZ3-02,0.0219529938956728,1
