Empresa,12m,24m,36m,48m
KNIP11,0.0287,0.1325,0.2071,0.2139
KNCR11,0.1074,0.3555,0.3686,0.2852
HGLG11,0.1251,0.178,0.1375,0.5242
KNRI11,0.2982,0.3128,0.1468,0.3251
IRDM11,-0.0397,-0.1082,0.1011,0.2303
XPLG11,0.2745,0.1948,0.131,0.4515
CPTS11,0.0097,0.0437,0.1905,0.2362
MXRF11,0.2638,0.3384,0.3719,0.3461
XPML11,0.1871,0.1741,0.2178,0.2236
HGRU11,0.2428,0.3359,0.295,0.6865
RECR11,-0.0131,0.1243,0.2958,0.3359
BTLG11,0.1051,0.086,0.2256,0.2755
VISC11,0.2181,0.1966,0.3135,0.3857
HGBS11,0.3091,0.2202,0.1431,0.0315
KNHY11,0.079,0.168,0.2968,0.2058
BCFF11,0.1886,0.0318,-0.0145,0.0749
TGAR11,0.2048,0.1735,0.3567,0.4946
HGCR11,0.1478,0.2939,0.336,0.2878
HGRE11,0.0836,0.1715,0.0906,0.0779
VILG11,0.193,0.0981,0.0518,0.2624
BBPO11,0.3793,0.0683,-0.1603,0.0247
LVBI11,0.2412,0.2309,0.1735,0.3577
RBVA11,0.2891,0.1504,-0.0147,0.1822
RBRR11,0.0103,0.1533,0.2468,0.2483
MALL11,0.2277,0.3695,0.566,0.4823
ALZR11,0.0999,0.1534,0.0779,0.5047
RBRF11,0.211,0.1036,0.0504,0.0492
VGIR11,0.1183,0.3931,0.4749,0.3916
GGRC11,0.2318,0.2167,0.1958,0.2055
GTWR11,0.2361,-0.0623,-0.1175,0.1187
BTCI11,0.1508,0.3704,0.3818,0.4744
SDIL11,0.2009,0.2395,0.1688,0.1552
RBRY11,0.1083,0.2535,0.3861,0.3703
RCRB11,0.2024,0.1808,-0.0034,0.0776
BCRI11,-0.1756,-0.0863,0.046,0.0018
KFOF11,0.3287,0.2102,0.0798,0.1887
MFII11,0.118,0.0995,0.0804,0.246
BCIA11,0.2963,0.1955,-0.3423,0.1731
PORD11,0.0769,0.1724,0.4532,0.3083
OUJP11,0.2152,0.3476,0.3093,0.4398
BPFF11,0.2021,0.0933,0.0075,0.0665
VTLT11,0.1697,0.0846,0.1154,0.3581
