Empresa,12m,24m,36m,48m
VALE3,-0.042,-0.2425,0.6704,0.7998
PETR4,0.9819,1.6674,2.8297,1.9211
ITUB4,0.2829,0.1952,0.4405,0.153
PETR3,0.9165,1.7588,2.8694,1.7087
B3SA3,0.2998,-0.0563,0.0005,0.3195
ELET3,-0.1039,-0.1375,0.4832,0.3264
BBAS3,0.7709,0.8846,1.0439,0.333
RENT3,0.3665,0.1092,0.7061,0.794
ITSA4,0.2909,0.0697,0.2821,0.1017
WEGE3,0.4372,0.0967,0.6637,2.5614
BPAC11,0.3993,0.0745,0.7337,1.697
SUZB3,0.0221,-0.1602,0.2644,0.4281
EQTL3,0.3284,0.2915,0.5061,0.8408
RADL3,0.5619,0.1796,0.4284,1.0607
PRIO3,0.8181,1.0005,4.5882,11.0768
GGBR4,0.339,0.1706,1.3584,1.3961
RAIL3,0.3309,0.1264,-0.0436,0.0781
JBSS3,-0.4026,-0.2418,0.023,0.0399
CSAN3,0.0005,-0.2377,0.1081,0.7129
BBSE3,0.3228,0.3808,0.2827,0.2913
ENEV3,-0.2085,-0.3301,0.1159,0.9757
SBSP3,0.3772,0.5385,-0.0213,0.3099
CMIG4,0.332,0.5847,1.2345,0.7877
VIVT3,-0.0161,0.1343,0.0766,0.3152
HYPE3,0.1936,0.2911,0.4067,0.6803
KLBN11,0.2157,-0.0323,0.25,0.6224
TOTS3,0.2556,-0.202,0.3392,1.1058
CCRO3,0.1468,0.0748,0.0145,0.0992
CPLE6,0.1686,0.5603,0.7092,1.3935
ELET6,0.0483,0.0217,0.7168,0.5722
ENGI11,0.1447,0.0921,0.1152,0.2191
EGIE3,0.1818,0.2876,0.2656,0.3317
TAEE11,0.0554,0.179,0.8482,1.1334
GOAU4,0.3972,0.208,1.4811,1.4406
CSNA3,0.0067,-0.5951,0.5689,0.0848
MULT3,0.2296,0.1541,0.3526,0.0815
CPFE3,0.1023,0.4731,0.4837,0.5844
BRAP4,0.0324,0.1172,1.3537,1.6112
ENBR3,0.214,0.4869,0.6359,0.6142
SMTO3,-0.0166,0.1018,1.1763,1.1465
CYRE3,0.6953,-0.1008,0.0355,0.2692
ARZZ3,0.1655,-0.1288,0.8039,0.684
